Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
Watchmen,3611,15290,3/6/2009,Warner Bros.,Spring,No,3,6,2009
300: Rise of an Empire,3470,12979,3/7/2014,Warner Bros.,Spring,No,3,7,2014
Mr. Peabody & Sherman,3934,8186,3/7/2014,Twentieth Century Fox,Spring,No,3,7,2014
"10,000 BC",3410,10518,3/7/2008,Warner Bros.,Spring,No,3,7,2008
Bringing Down the House,2801,11103,3/7/2003,Walt Disney Studios Motion Pictures,Spring,No,3,7,2003
Captain Marvel,4310,35599,3/8/2019,Walt Disney Studios Motion Pictures,Spring,No,3,8,2019
Oz the Great and Powerful,3912,20222,3/8/2013,Walt Disney Studios Motion Pictures,Spring,No,3,8,2013
The Time Machine,2944,7680,3/8/2002,DreamWorks Distribution,Spring,No,3,8,2002
A Wrinkle in Time,3980,8322,3/9/2018,Walt Disney Studios Motion Pictures,Spring,No,3,9,2018
John Carter,3749,8050,3/9/2012,Walt Disney Studios Motion Pictures,Spring,No,3,9,2012
300,3103,22844,3/9/2007,Warner Bros.,Spring,No,3,9,2007
Scream VI,3675,12094,3/10/2023,Paramount Pictures,Spring,No,3,10,2023
Kong: Skull Island,3846,15867,3/10/2017,Warner Bros.,Spring,No,3,10,2017
Failure to Launch,3057,7985,3/10/2006,Paramount Pictures,Spring,No,3,10,2006
Mission to Mars,3054,7483,3/10/2000,Walt Disney Studios Motion Pictures,Spring,No,3,10,2000
10 Cloverfield Lane,3391,7292,3/11/2016,Paramount Pictures,Spring,No,3,11,2016
Battle Los Angeles,3417,10410,3/11/2011,Sony Pictures Releasing,Spring,No,3,11,2011
Robots,3776,9545,3/11/2005,Twentieth Century Fox,Spring,No,3,11,2005
Cinderella,3845,17653,3/13/2015,Walt Disney Studios Motion Pictures,Spring,No,3,13,2015
Race to Witch Mountain,3187,7656,3/13/2009,Walt Disney Studios Motion Pictures,Spring,No,3,13,2009
Horton Hears a Who!,3954,11384,3/14/2008,Twentieth Century Fox,Spring,No,3,14,2008
Ice Age,3316,13966,3/15/2002,Twentieth Century Fox,Spring,No,3,15,2002
Tomb Raider,3854,6132,3/16/2018,Warner Bros.,Spring,No,3,16,2018
21 Jump Street,3121,11631,3/16/2012,Sony Pictures Releasing,Spring,No,3,16,2012
Shazam! Fury of the Gods,4071,7396,3/17/2023,Warner Bros.,Spring,No,3,17,2023
Beauty and the Beast,4210,41508,3/17/2017,Walt Disney Studios Motion Pictures,Spring,No,3,17,2017
V for Vendetta,3365,7620,3/17/2006,Warner Bros.,Spring,No,3,17,2006
Erin Brockovich,2848,9880,3/17/2000,Universal Pictures,Spring,No,3,17,2000
Allegiant,3740,7761,3/18/2016,Lionsgate Films,Spring,No,3,18,2016
The Ring Two,3332,10523,3/18/2005,DreamWorks Distribution,Spring,No,3,18,2005
Diary of a Wimpy Kid,3077,7190,3/19/2010,Twentieth Century Fox,Spring,No,3,19,2010
Dawn of the Dead,2745,9735,3/19/2004,Universal Pictures,Spring,No,3,19,2004
The Divergent Series: Insurgent,3875,13487,3/20/2015,Lionsgate Films,Spring,No,3,20,2015
Knowing,3332,7384,3/20/2009,Summit Entertainment,Spring,No,3,20,2009
Divergent,3936,13873,3/21/2014,Lionsgate Films,Spring,No,3,21,2014
Liar Liar,2845,11045,3/21/1997,Universal Pictures,Spring,No,3,21,1997
Us,3741,19010,3/22/2019,Universal Pictures,Spring,No,3,22,2019
The Croods,4046,10785,3/22/2013,Twentieth Century Fox,Spring,No,3,22,2013
Olympus Has Fallen,3098,9804,3/22/2013,FilmDistrict,Spring,No,3,22,2013
Blade II,2707,12016,3/22/2002,New Line Cinema,Spring,No,3,22,2002
Pacific Rim: Uprising,3708,7582,3/23/2018,Universal Pictures,Spring,No,3,23,2018
The Hunger Games,4137,36871,3/23/2012,Lionsgate Films,Spring,No,3,23,2012
TMNT,3110,7799,3/23/2007,Warner Bros.,Spring,No,3,23,2007
John Wick: Chapter 4,3855,19148,3/24/2023,Lionsgate Films,Spring,No,3,24,2023
Power Rangers,3693,10912,3/24/2017,Lionsgate Films,Spring,No,3,24,2017
Inside Man,2818,10274,3/24/2006,Universal Pictures,Spring,No,3,24,2006
The Lost City,4253,7160,3/25/2022,Paramount Pictures,Spring,No,3,25,2022
Batman v Superman: Dawn of Justice,4242,39134,3/25/2016,Warner Bros.,Spring,No,3,25,2016
Diary of a Wimpy Kid: Rodrick Rules,3167,7499,3/25/2011,Twentieth Century Fox,Spring,No,3,25,2011
How to Train Your Dragon,4055,10784,3/26/2010,DreamWorks,Spring,No,3,26,2010
Scooby-Doo 2: Monsters Unleashed,3312,8888,3/26/2004,Warner Bros.,Spring,No,3,26,2004
Home,3708,14052,3/27/2015,Twentieth Century Fox,Spring,No,3,27,2015
Get Hard,3175,10646,3/27/2015,Warner Bros.,Spring,No,3,27,2015
Monsters vs. Aliens,4104,14454,3/27/2009,DreamWorks,Spring,No,3,27,2009
The Haunting in Connecticut,2732,8420,3/27/2009,Lionsgate Films,Spring,No,3,27,2009
Noah,3567,12256,3/28/2014,Paramount Pictures,Spring,No,3,28,2014
G.I. Joe: Retaliation,3719,10890,3/28/2013,Paramount Pictures,Spring,No,3,28,2013
21,2648,9103,3/28/2008,Sony Pictures Releasing,Spring,No,3,28,2008
Dumbo,4259,10798,3/29/2019,Walt Disney Studios Motion Pictures,Spring,No,3,29,2019
Ready Player One,4234,9863,3/29/2018,Warner Bros.,Spring,No,3,29,2018
Temptation: Confessions of a Marriage Counselor,2047,10572,3/29/2013,Lionsgate Films,Spring,No,3,29,2013
Panic Room,3053,9844,3/29/2002,Sony Pictures Releasing,Spring,No,3,29,2002
Wrath of the Titans,3545,9437,3/30/2012,Warner Bros.,Spring,No,3,30,2012
Blades of Glory,3372,9790,3/30/2007,DreamWorks,Spring,No,3,30,2007
Meet the Robinsons,3413,7361,3/30/2007,Walt Disney Studios Motion Pictures,Spring,No,3,30,2007
Spy Kids,3104,8552,3/30/2001,Miramax,Spring,No,3,30,2001
Teenage Mutant Ninja Turtles,2006,12661,3/30/1990,New Line Cinema,Spring,No,3,30,1990
Dungeons & Dragons: Honor Among Thieves,3855,9651,3/31/2023,Paramount Pictures,Spring,No,3,31,2023
Godzilla vs. Kong,3064,10321,3/31/2021,Warner Bros.,Spring,No,3,31,2021
The Boss Baby,3773,13304,3/31/2017,Twentieth Century Fox,Spring,No,3,31,2017
Ice Age: The Meltdown,3964,17162,3/31/2006,Twentieth Century Fox,Spring,No,3,31,2006
The Matrix,2849,9753,3/31/1999,Warner Bros.,Spring,No,3,31,1999
Morbius,4268,9139,4/1/2022,Columbia Pictures,Spring,No,4,1,2022
Hop,3579,10490,4/1/2011,Universal Pictures,Spring,No,4,1,2011
Sin City,3230,8699,4/1/2005,Dimension Films,Spring,No,4,1,2005
Clash of the Titans,3777,16212,4/2/2010,Warner Bros.,Spring,No,4,2,2010
Why Did I Get Married Too?,2155,13591,4/2/2010,Lionsgate Films,Spring,No,4,2,2010
Hellboy,3028,7652,4/2/2004,Revolution Studios,Spring,No,4,2,2004
Furious 7,4004,36760,4/3/2015,Universal Pictures,Spring,No,4,3,2015
Fast & Furious,3461,20500,4/3/2009,Universal Pictures,Spring,No,4,3,2009
Captain America: The Winter Soldier,3938,24129,4/4/2014,Walt Disney Studios Motion Pictures,Spring,No,4,4,2014
The Super Mario Bros. Movie,4343,33700,4/5/2023,Universal Pictures,Spring,No,4,5,2023
Shazam!,4217,12688,4/5/2019,Warner Bros.,Spring,No,4,5,2019
Pet Sematary,3585,6834,4/5/2019,Paramount Pictures,Spring,No,4,5,2019
Evil Dead,3025,8520,4/5/2013,TriStar Pictures,Spring,No,4,5,2013
A Quiet Place,3508,14311,4/6/2018,Paramount Pictures,Spring,No,4,6,2018
Sonic the Hedgehog 2,4234,17030,4/8/2022,Paramount Pictures,Spring,No,4,8,2022
The Boss,3480,6777,4/8/2016,Universal Pictures,Spring,No,4,8,2016
Date Night,3374,7471,4/9/2010,Twentieth Century Fox,Spring,No,4,9,2010
Hannah Montana: The Movie,3118,10367,4/10/2009,Walt Disney Studios Motion Pictures,Spring,No,4,10,2009
Rio 2,3948,9961,4/11/2014,Twentieth Century Fox,Spring,No,4,11,2014
Anger Management,3551,11889,4/11/2003,Revolution Studios,Spring,No,4,11,2003
42,3003,9153,4/12/2013,Warner Bros.,Spring,No,4,12,2013
Rampage,4101,8718,4/13/2018,Warner Bros.,Spring,No,4,13,2018
Disturbia,2925,7598,4/13/2007,DreamWorks,Spring,No,4,13,2007
The Fate of the Furious,4310,22920,4/14/2017,Universal Pictures,Spring,No,4,14,2017
Scary Movie 4,3602,11166,4/14/2006,-,Spring,No,4,14,2006
Fantastic Beasts: The Secrets of Dumbledore,4208,10016,4/15/2022,Warner Bros.,Spring,No,4,15,2022
The Jungle Book,4028,25635,4/15/2016,Walt Disney Studios Motion Pictures,Spring,No,4,15,2016
Rio,3826,10252,4/15/2011,Twentieth Century Fox,Spring,No,4,15,2011
The Amityville Horror,3323,7074,4/15/2005,Metro-Goldwyn-Mayer (MGM),Spring,No,4,15,2005
Heaven Is for Real,2417,9318,4/16/2014,TriStar Pictures,Spring,No,4,16,2014
Kill Bill: Vol. 2,2971,8616,4/16/2004,Miramax,Spring,No,4,16,2004
Paul Blart: Mall Cop 2,3633,6540,4/17/2015,Sony Pictures Releasing,Spring,No,4,17,2015
17 Again,3255,7287,4/17/2009,Warner Bros.,Spring,No,4,17,2009
The Curse of La Llorona,3372,7813,4/19/2019,Warner Bros.,Spring,No,4,19,2019
Oblivion,3783,9795,4/19/2013,Universal Pictures,Spring,No,4,19,2013
The Scorpion King,3444,10474,4/19/2002,Universal Pictures,Spring,No,4,19,2002
Think Like a Man,2015,16692,4/20/2012,Screen Gems,Spring,No,4,20,2012
The Lucky One,3155,7137,4/20/2012,Warner Bros.,Spring,No,4,20,2012
Evil Dead Rise,3402,7202,4/21/2023,Warner Bros.,Spring,No,4,21,2023
Man on Fire,2980,7634,4/21/2004,Twentieth Century Fox,Spring,No,4,21,2004
The Bad Guys,4008,5975,4/22/2022,Universal Pictures,Spring,No,4,22,2022
Madea's Big Happy Family,2288,10956,4/22/2011,Lionsgate Films,Spring,No,4,22,2011
The Interpreter,2758,8275,4/22/2005,Universal Pictures,Spring,No,4,22,2005
Mortal Kombat,3073,7582,4/23/2021,Warner Bros.,Spring,No,4,23,2021
Obsessed,2514,11381,4/24/2009,Screen Gems,Spring,No,4,24,2009
The Other Woman,3205,7726,4/25/2014,Twentieth Century Fox,Spring,No,4,25,2014
Avengers: Endgame,4662,76601,4/26/2019,Walt Disney Studios Motion Pictures,Spring,No,4,26,2019
Avengers: Infinity War,4474,57599,4/27/2018,Walt Disney Studios Motion Pictures,Spring,No,4,27,2018
Fast Five,3644,23654,4/29/2011,Universal Pictures,Spring,No,4,29,2011
A Nightmare on Elm Street,3332,9874,4/30/2010,Warner Bros.,Spring,No,4,30,2010
Mean Girls,2839,8605,4/30/2004,Paramount Pictures,Spring,No,4,30,2004
Avengers: Age of Ultron,4276,44731,5/1/2015,Walt Disney Studios Motion Pictures,Spring,No,5,1,2015
X-Men Origins: Wolverine,4099,20750,5/1/2009,Twentieth Century Fox,Spring,No,5,1,2009
The Amazing Spider-Man 2,4324,21186,5/2/2014,Sony Pictures Releasing,Spring,No,5,2,2014
Iron Man,4105,24024,5/2/2008,Paramount Pictures,Spring,No,5,2,2008
X2: X-Men United,3741,22870,5/2/2003,Twentieth Century Fox,Spring,No,5,2,2003
Iron Man 3,4253,40946,5/3/2013,Walt Disney Studios Motion Pictures,Spring,No,5,3,2013
Spider-Man,3615,31768,5/3/2002,Sony Pictures Releasing,Spring,No,5,3,2002
The Avengers,4349,47698,5/4/2012,Walt Disney Studios Motion Pictures,Spring,No,5,4,2012
Spider-Man 3,4252,35540,5/4/2007,Sony Pictures Releasing,Spring,No,5,4,2007
The Mummy Returns,3401,20035,5/4/2001,Universal Pictures,Spring,No,5,4,2001
Guardians of the Galaxy Vol. 3,4450,26609,5/5/2023,Walt Disney Studios Motion Pictures,Spring,No,5,5,2023
Guardians of the Galaxy Vol. 2,4347,33703,5/5/2017,Walt Disney Studios Motion Pictures,Spring,No,5,5,2017
Mission: Impossible III,4054,11776,5/5/2006,Paramount Pictures,Spring,No,5,5,2006
Gladiator,2938,11851,5/5/2000,DreamWorks Distribution,Spring,No,5,5,2000
Doctor Strange in the Multiverse of Madness,4534,41336,5/6/2022,Walt Disney Studios Motion Pictures,Spring,No,5,6,2022
Captain America: Civil War,4226,42389,5/6/2016,Walt Disney Studios Motion Pictures,Spring,No,5,6,2016
Thor,3955,16617,5/6/2011,Paramount Pictures,Spring,No,5,6,2011
Iron Man 2,4380,29251,5/7/2010,Paramount Pictures,Spring,No,5,7,2010
Van Helsing,3575,14474,5/7/2004,Universal Pictures,Spring,No,5,7,2004
The Mummy,3210,13510,5/7/1999,Universal Pictures,Spring,No,5,7,1999
Star Trek,3849,19538,5/8/2009,Paramount Pictures,Spring,No,5,8,2009
Deep Impact,3156,13039,5/8/1998,Paramount Pictures,Spring,No,5,8,1998
Neighbors,3279,14953,5/9/2014,Universal Pictures,Spring,No,5,9,2014
Daddy Day Care,3370,8196,5/9/2003,Revolution Studios,Spring,No,5,9,2003
Pokémon: Detective Pikachu,4202,12937,5/10/2019,Warner Bros.,Spring,No,5,10,2019
The Great Gatsby,3535,14168,5/10/2013,Warner Bros.,Spring,No,5,10,2013
Twister,2414,17008,5/10/1996,Warner Bros.,Spring,No,5,10,1996
Dark Shadows,3755,7905,5/11/2012,Warner Bros.,Spring,No,5,11,2012
Poseidon,3555,6232,5/12/2006,Warner Bros.,Spring,No,5,12,2006
Bridesmaids,2918,8995,5/13/2011,Universal Pictures,Spring,No,5,13,2011
Monster-in-Law,3424,7009,5/13/2005,New Line Cinema,Spring,No,5,13,2005
Robin Hood,3503,10295,5/14/2010,Universal Pictures,Spring,No,5,14,2010
Troy,3411,13739,5/14/2004,Warner Bros.,Spring,No,5,14,2004
Pitch Perfect 2,3473,19930,5/15/2015,Universal Pictures,Spring,No,5,15,2015
Mad Max: Fury Road,3702,12271,5/15/2015,Warner Bros.,Spring,No,5,15,2015
Angels & Demons,3527,13100,5/15/2009,Sony Pictures Releasing,Spring,No,5,15,2009
