Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
Once Upon a Time... in Hollywood,3659,11227,7/26/2019,Sony Pictures Releasing,Summer,No,7,26,2019
The Wolverine,3924,13535,7/26/2013,Twentieth Century Fox,Summer,No,7,26,2013
Austin Powers in Goldmember,3613,20224,7/26/2002,New Line Cinema,Summer,No,7,26,2002
Mission: Impossible - Fallout,4386,13961,7/27/2018,Paramount Pictures,Summer,No,7,27,2018
The Simpsons Movie,3922,18877,7/27/2007,Twentieth Century Fox,Summer,No,7,27,2007
Planet of the Apes,3500,19580,7/27/2001,Twentieth Century Fox,Summer,No,7,27,2001
Haunted Mansion,3740,6439,7/28/2023,Walt Disney Studios Motion Pictures,Summer,No,7,28,2023
The Emoji Movie,4075,6020,7/28/2017,Sony Pictures Releasing,Summer,No,7,28,2017
Miami Vice,3021,8515,7/28/2006,Universal Pictures,Summer,No,7,28,2006
Nutty Professor II: The Klumps,3242,13115,7/28/2000,Universal Pictures,Summer,No,7,28,2000
DC League of Super-Pets,4314,5332,7/29/2022,Warner Bros.,Summer,No,7,29,2022
Jason Bourne,4026,14708,7/29/2016,Universal Pictures,Summer,No,7,29,2016
Bad Moms,3215,7408,7/29/2016,STX Entertainment,Summer,No,7,29,2016
Cowboys & Aliens,3750,9715,7/29/2011,Universal Pictures,Summer,No,7,29,2011
The Smurfs,3395,10489,7/29/2011,Sony Pictures Releasing,Summer,No,7,29,2011
The Mask,2360,9795,7/29/1994,New Line Cinema,Summer,No,7,29,1994
Jungle Cruise,4310,8124,7/30/2021,Walt Disney Studios Motion Pictures,Summer,No,7,30,2021
Dinner for Schmucks,2911,8082,7/30/2010,DreamWorks,Summer,No,7,30,2010
The Village,3730,13604,7/30/2004,Walt Disney Studios Motion Pictures,Summer,No,7,30,2004
Runaway Bride,3158,11100,7/30/1999,Paramount Pictures,Summer,No,7,30,1999
Mission: Impossible - Rogue Nation,3956,14034,7/31/2015,Paramount Pictures,Summer,No,7,31,2015
Funny People,3007,7535,7/31/2009,Universal Pictures,Summer,No,7,31,2009
Guardians of the Galaxy,4080,23117,8/1/2014,Walt Disney Studios Motion Pictures,Summer,No,8,1,2014
The Mummy: Tomb of the Dragon Emperor,3760,10760,8/1/2008,Universal Pictures,Summer,No,8,1,2008
American Wedding,3172,10520,8/1/2003,Universal Pictures,Summer,No,8,1,2003
Teenage Mutant Ninja Turtles: Mutant Mayhem,3858,7259,8/2/2023,Paramount Pictures,Summer,No,8,2,2023
Fast & Furious Presents: Hobbs & Shaw,4253,14116,8/2/2019,Universal Pictures,Summer,No,8,2,2019
2 Guns,3025,8945,8/2/2013,Universal Pictures,Summer,No,8,2,2013
Signs,3264,18418,8/2/2002,Walt Disney Studios Motion Pictures,Summer,No,8,2,2002
Christopher Robin,3602,6825,8/3/2018,Walt Disney Studios Motion Pictures,Summer,No,8,3,2018
Total Recall,3601,7102,8/3/2012,Sony Pictures Releasing,Summer,No,8,3,2012
The Bourne Ultimatum,3660,18929,8/3/2007,Universal Pictures,Summer,No,8,3,2007
Rush Hour 2,3118,21619,8/3/2001,New Line Cinema,Summer,No,8,3,2001
The Princess Diaries,2537,9011,8/3/2001,Walt Disney Studios Motion Pictures,Summer,No,8,3,2001
Meg 2: The Trench,3503,8564,8/4/2023,Warner Bros.,Summer,No,8,4,2023
Talladega Nights: The Ballad of Ricky Bobby,3803,12369,8/4/2006,Sony Pictures Releasing,Summer,No,8,4,2006
Hollow Man,2956,8935,8/4/2000,Sony Pictures Releasing,Summer,No,8,4,2000
Bullet Train,4357,6892,8/5/2022,Sony Pictures Releasing,Summer,No,8,5,2022
Suicide Squad,4255,31417,8/5/2016,Warner Bros.,Summer,No,8,5,2016
Rise of the Planet of the Apes,3648,15023,8/5/2011,Twentieth Century Fox,Summer,No,8,5,2011
The Dukes of Hazzard,3785,8104,8/5/2005,Warner Bros.,Summer,No,8,5,2005
The Suicide Squad,4002,6548,8/6/2021,Warner Bros.,Summer,No,8,6,2021
The Other Guys,3651,9735,8/6/2010,Sony Pictures Releasing,Summer,No,8,6,2010
Pineapple Express,3072,7566,8/6/2008,Sony Pictures Releasing,Summer,No,8,6,2008
Collateral,3188,7748,8/6/2004,DreamWorks Distribution,Summer,No,8,6,2004
Freaky Friday,2954,7516,8/6/2003,Walt Disney Studios Motion Pictures,Summer,No,8,6,2003
The Sixth Sense,2161,12346,8/6/1999,Walt Disney Studios Motion Pictures,Summer,No,8,6,1999
The Fugitive,2340,10153,8/6/1993,Warner Bros.,Summer,No,8,6,1993
Fantastic Four,3995,6429,8/7/2015,Twentieth Century Fox,Summer,No,8,7,2015
We're the Millers,3260,8104,8/7/2013,Warner Bros.,Summer,No,8,7,2013
G.I. Joe: The Rise of Cobra,4007,13654,8/7/2009,Paramount Pictures,Summer,No,8,7,2009
Teenage Mutant Ninja Turtles,3845,17054,8/8/2014,Paramount Pictures,Summer,No,8,8,2014
S.W.A.T.,3202,11574,8/8/2003,Sony Pictures Releasing,Summer,No,8,8,2003
Elysium,3284,9076,8/9/2013,TriStar Pictures,Summer,No,8,9,2013
Planes,3702,6005,8/9/2013,Walt Disney Studios Motion Pictures,Summer,No,8,9,2013
xXx,3374,13190,8/9/2002,Revolution Studios,Summer,No,8,9,2002
The Meg,4118,11025,8/10/2018,Warner Bros.,Summer,No,8,10,2018
The Bourne Legacy,3745,10185,8/10/2012,Universal Pictures,Summer,No,8,10,2012
The Campaign,3205,8295,8/10/2012,Warner Bros.,Summer,No,8,10,2012
The Help,2534,10278,8/10/2011,Walt Disney Studios Motion Pictures,Summer,No,8,10,2011
Rush Hour 3,3778,13297,8/10/2007,New Line Cinema,Summer,No,8,10,2007
American Pie 2,3063,14729,8/10/2001,Universal Pictures,Summer,No,8,10,2001
Annabelle: Creation,3502,9996,8/11/2017,Warner Bros.,Summer,No,8,11,2017
The Princess Diaries 2: Royal Engagement,3472,6611,8/11/2004,Walt Disney Studios Motion Pictures,Summer,No,8,11,2004
Sausage Party,3103,11042,8/12/2016,Sony Pictures Releasing,Summer,No,8,12,2016
Pete's Dragon,3702,5811,8/12/2016,Walt Disney Studios Motion Pictures,Summer,No,8,12,2016
Free Guy,4165,6810,8/13/2021,20th Century Studios,Summer,No,8,13,2021
The Expendables,3270,10649,8/13/2010,Lionsgate Films,Summer,No,8,13,2010
Eat Pray Love,3082,7496,8/13/2010,Sony Pictures Releasing,Summer,No,8,13,2010
Tropic Thunder,3319,7777,8/13/2008,DreamWorks,Summer,No,8,13,2008
Alien vs. Predator,3395,11278,8/13/2004,Twentieth Century Fox,Summer,No,8,13,2004
Straight Outta Compton,2757,21835,8/14/2015,Universal Pictures,Summer,No,8,14,2015
District 9,3049,12251,8/14/2009,TriStar Pictures,Summer,No,8,14,2009
Crazy Rich Asians,3384,7833,8/15/2018,Warner Bros.,Summer,No,8,15,2018
Freddy vs. Jason,3014,12076,8/15/2003,New Line Cinema,Summer,No,8,15,2003
The Butler,2933,8400,8/16/2013,The Weinstein Company,Summer,No,8,16,2013
The Expendables 2,3316,8622,8/17/2012,Lionsgate Films,Summer,No,8,17,2012
Superbad,2948,11211,8/17/2007,Sony Pictures Releasing,Summer,No,8,17,2007
Blue Beetle,3871,6466,8/18/2023,Warner Bros.,Summer,No,8,18,2023
Mortal Kombat,2421,9617,8/18/1995,New Line Cinema,Summer,No,8,18,1995
Inglourious Basterds,3165,12023,8/21/2009,The Weinstein Company,Summer,No,8,21,2009
Don't Breathe,3051,8656,8/26/2016,Screen Gems,Summer,No,8,26,2016
Candyman,3569,6164,8/27/2021,Universal Pictures,Summer,No,8,27,2021
The Final Destination,3121,8781,8/28/2009,Warner Bros.,Summer,No,8,28,2009
Halloween,3472,7592,8/31/2007,-,Summer,No,8,31,2007
The Equalizer 3,3965,8727,9/1/2023,Columbia Pictures,Fall,Yes,9,1,2023
Shang-Chi and the Legend of the Ten Rings,4300,17532,9/3/2021,Walt Disney Studios Motion Pictures,Fall,Yes,9,3,2021
It Chapter Two,4570,19926,9/6/2019,Warner Bros.,Fall,Yes,9,6,2019
The Nun,3876,13882,9/7/2018,Warner Bros.,Fall,No,9,7,2018
The Nun II,3728,8745,9/8/2023,Warner Bros.,Fall,No,9,8,2023
It,4103,30076,9/8/2017,Warner Bros.,Fall,No,9,8,2017
Sully,3525,9937,9/9/2016,Warner Bros.,Fall,No,9,9,2016
Contagion,3222,6953,9/9/2011,Warner Bros.,Fall,No,9,9,2011
The Exorcism of Emily Rose,2981,10081,9/9/2005,Screen Gems,Fall,No,9,9,2005
Resident Evil: Afterlife,3203,8320,9/10/2010,Screen Gems,Fall,No,9,10,2010
Resident Evil: Apocalypse,3284,7014,9/10/2004,Screen Gems,Fall,No,9,10,2004
The Perfect Guy,2221,11656,9/11/2015,Screen Gems,Fall,No,9,11,2015
The Visit,3069,8285,9/11/2015,Universal Pictures,Fall,No,9,11,2015
I Can Do Bad All by Myself,2255,10397,9/11/2009,Lionsgate Films,Fall,No,9,11,2009
No Good Deed,2175,11149,9/12/2014,Screen Gems,Fall,No,9,12,2014
Once Upon a Time in Mexico,3282,7137,9/12/2003,Sony Pictures Releasing,Fall,No,9,12,2003
Hustlers,3250,10209,9/13/2019,STX Entertainment,Fall,No,9,13,2019
Insidious: Chapter 2,3049,13208,9/13/2013,FilmDistrict,Fall,No,9,13,2013
The Predator,4037,6101,9/14/2018,Twentieth Century Fox,Fall,No,9,14,2018
The Lion King (2011 3D Release),2330,12940,9/16/2011,Walt Disney Studios Motion Pictures,Fall,No,9,16,2011
The Town,2861,8321,9/17/2010,Warner Bros.,Fall,No,9,17,2010
Maze Runner: The Scorch Trials,3791,7996,9/18/2015,Twentieth Century Fox,Fall,No,9,18,2015
Black Mass,3188,7100,9/18/2015,Warner Bros.,Fall,No,9,18,2015
Cloudy with a Chance of Meatballs,3119,9716,9/18/2009,Sony Pictures Releasing,Fall,No,9,18,2009
Rush Hour,2638,12510,9/18/1998,New Line Cinema,Fall,No,9,18,1998
The Maze Runner,3604,9021,9/19/2014,Twentieth Century Fox,Fall,No,9,19,2014
Underworld,2915,7462,9/19/2003,Screen Gems,Fall,No,9,19,2003
Downton Abbey,3079,10079,9/20/2019,Focus Features,Fall,No,9,20,2019
The House with a Clock in Its Walls,3592,7407,9/21/2018,Universal Pictures,Fall,No,9,21,2018
Resident Evil: Extinction,2828,8372,9/21/2007,Screen Gems,Fall,No,9,21,2007
Kingsman: The Golden Circle,4003,9748,9/22/2017,Twentieth Century Fox,Fall,No,9,22,2017
Jackass Number Two,3059,9480,9/22/2006,Paramount Pictures,Fall,No,9,22,2006
The Magnificent Seven,3674,9445,9/23/2016,Sony Pictures Releasing,Fall,No,9,23,2016
Flightplan,3424,7193,9/23/2005,Walt Disney Studios Motion Pictures,Fall,No,9,23,2005
Double Jeopardy,2547,9094,9/24/1999,Paramount Pictures,Fall,No,9,24,1999
Hotel Transylvania 2,3754,12910,9/25/2015,Sony Pictures Releasing,Fall,No,9,25,2015
The Equalizer,3236,10549,9/26/2014,Sony Pictures Releasing,Fall,No,9,26,2014
Eagle Eye,3510,8305,9/26/2008,DreamWorks,Fall,No,9,26,2008
Cloudy with a Chance of Meatballs 2,4001,8502,9/27/2013,Sony Pictures Releasing,Fall,No,9,27,2013
Sweet Home Alabama,3293,10825,9/27/2002,Walt Disney Studios Motion Pictures,Fall,No,9,27,2002
Night School,3010,9055,9/28/2018,Universal Pictures,Fall,No,9,28,2018
Smallfoot,4131,5578,9/28/2018,Warner Bros.,Fall,No,9,28,2018
Hotel Transylvania,3349,12696,9/28/2012,Sony Pictures Releasing,Fall,No,9,28,2012
The Game Plan,3103,7396,9/28/2007,Walt Disney Studios Motion Pictures,Fall,No,9,28,2007
PAW Patrol: The Mighty Movie,3989,5706,9/29/2023,Paramount Pictures,Fall,No,9,29,2023
Open Season,3833,6163,9/29/2006,Sony Pictures Releasing,Fall,No,9,29,2006
Smile,3645,6202,9/30/2022,Paramount Pictures,Fall,No,9,30,2022
Miss Peregrine's Home for Peculiar Children,3522,8197,9/30/2016,Twentieth Century Fox,Fall,No,9,30,2016
Venom: Let There Be Carnage,4225,21309,10/1/2021,Sony Pictures Releasing,Fall,No,10,1,2021
The Social Network,2771,8100,10/1/2010,Sony Pictures Releasing,Fall,No,10,1,2010
Shark Tale,4016,11853,10/1/2004,DreamWorks Distribution,Fall,No,10,1,2004
Ladder 49,3260,6775,10/1/2004,Walt Disney Studios Motion Pictures,Fall,No,10,1,2004
The Martian,3831,14176,10/2/2015,Twentieth Century Fox,Fall,No,10,2,2015
Zombieland,3036,8146,10/2/2009,Sony Pictures Releasing,Fall,No,10,2,2009
Gone Girl,3014,12446,10/3/2014,Twentieth Century Fox,Fall,No,10,3,2014
Annabelle,3185,11659,10/3/2014,Warner Bros.,Fall,No,10,3,2014
Beverly Hills Chihuahua,3215,9113,10/3/2008,Walt Disney Studios Motion Pictures,Fall,No,10,3,2008
Joker,4374,21994,10/4/2019,Warner Bros.,Fall,No,10,4,2019
Gravity,3575,15604,10/4/2013,Warner Bros.,Fall,No,10,4,2013
Red Dragon,3357,10885,10/4/2002,Universal Pictures,Fall,No,10,4,2002
Venom,4250,18883,10/5/2018,Sony Pictures Releasing,Fall,No,10,5,2018
A Star Is Born,3686,11640,10/5/2018,Warner Bros.,Fall,No,10,5,2018
Taken 2,3661,13524,10/5/2012,Twentieth Century Fox,Fall,No,10,5,2012
Training Day,2712,8315,10/5/2001,Warner Bros.,Fall,No,10,5,2001
The Exorcist: Believer,3663,7233,10/6/2023,Universal Pictures,Fall,No,10,6,2023
Blade Runner 2049,4058,8071,10/6/2017,Warner Bros.,Fall,No,10,6,2017
The Departed,3017,8911,10/6/2006,Warner Bros.,Fall,No,10,6,2006
Meet the Parents,2614,10950,10/6/2000,Universal Pictures,Fall,No,10,6,2000
The Girl on the Train,3144,7804,10/7/2016,Universal Pictures,Fall,No,10,7,2016
Real Steel,3440,7941,10/7/2011,Walt Disney Studios Motion Pictures,Fall,No,10,7,2011
No Time to Die,4407,12531,10/8/2021,Metro-Goldwyn-Mayer (MGM),Fall,No,10,8,2021
Couples Retreat,3000,11428,10/9/2009,Universal Pictures,Fall,No,10,9,2009
Dracula Untold,2885,8150,10/10/2014,Universal Pictures,Fall,Yes,10,10,2014
Kill Bill: Vol. 1,3102,7156,10/10/2003,Miramax,Fall,Yes,10,10,2003
The Addams Family,4007,7561,10/11/2019,United Artists Releasing,Fall,Yes,10,11,2019
Captain Phillips,3020,8515,10/11/2013,Sony Pictures Releasing,Fall,Yes,10,11,2013
Taylor Swift: The Eras Tour,3855,24182,10/13/2023,-,Fall,Yes,10,13,2023
Happy Death Day,3149,8268,10/13/2017,Universal Pictures,Fall,Yes,10,13,2017
Halloween Ends,3901,10266,10/14/2022,Universal Pictures,Fall,Yes,10,14,2022
The Accountant,3332,7416,10/14/2016,Warner Bros.,Fall,Yes,10,14,2016
Halloween Kills,3705,13334,10/15/2021,Universal Pictures,Fall,Yes,10,15,2021
Jackass 3D,3081,16343,10/15/2010,Paramount Pictures,Fall,Yes,10,15,2010
RED,3255,6685,10/15/2010,Summit Entertainment,Fall,Yes,10,15,2010
Goosebumps,3501,6746,10/16/2015,Sony Pictures Releasing,Fall,No,10,16,2015
Where the Wild Things Are,3735,8753,10/16/2009,Warner Bros.,Fall,No,10,16,2009
Fury,3173,7470,10/17/2014,Sony Pictures Releasing,Fall,No,10,17,2014
The Texas Chainsaw Massacre,3016,9648,10/17/2003,New Line Cinema,Fall,No,10,17,2003
Maleficent: Mistress of Evil,3790,9749,10/18/2019,Walt Disney Studios Motion Pictures,Fall,No,10,18,2019
Zombieland: Double Tap,3468,7728,10/18/2019,Sony Pictures Releasing,Fall,No,10,18,2019
Halloween,3928,19404,10/19/2018,Universal Pictures,Fall,No,10,19,2018
Paranormal Activity 4,3412,8500,10/19/2012,Paramount Pictures,Fall,No,10,19,2012
Killers of the Flower Moon,3628,6409,10/20/2023,Paramount Pictures,Fall,No,10,20,2023
Black Adam,4402,15221,10/21/2022,Warner Bros.,Fall,No,10,21,2022
Boo! A Madea Halloween,2260,12611,10/21/2016,Lionsgate Films,Fall,No,10,21,2016
Jack Reacher: Never Go Back,3780,6050,10/21/2016,Paramount Pictures,Fall,No,10,21,2016
Paranormal Activity 3,3321,15829,10/21/2011,Paramount Pictures,Fall,No,10,21,2011
Dune: Part One,4125,9942,10/22/2021,Warner Bros.,Fall,No,10,22,2021
Paranormal Activity 2,3216,12648,10/22/2010,Paramount Pictures,Fall,No,10,22,2010
The Grudge,3245,12058,10/22/2004,Sony Pictures Releasing,Fall,No,10,22,2004
High School Musical 3: Senior Year,3623,11600,10/24/2008,Walt Disney Studios Motion Pictures,Fall,No,10,24,2008
Saw V,3060,9821,10/24/2008,Lionsgate Films,Fall,No,10,24,2008
Scary Movie 3,3505,14179,10/24/2003,Dimension Films,Fall,No,10,24,2003
Jackass Presents: Bad Grandpa,3336,9608,10/25/2013,Paramount Pictures,Fall,No,10,25,2013
Jackass: The Movie,2509,9072,10/25/2002,Paramount Pictures,Fall,No,10,25,2002
Saw IV,3183,9976,10/26/2007,Lionsgate Films,Fall,No,10,26,2007
Five Nights at Freddy's,3675,21769,10/27/2023,Universal Pictures International (UPI),Fall,No,10,27,2023
Saw III,3167,10612,10/27/2006,Lionsgate Films,Fall,No,10,27,2006
Puss in Boots,3952,8622,10/28/2011,DreamWorks,Fall,No,10,28,2011
This Is It,3481,6674,10/28/2009,Sony Pictures Releasing,Fall,No,10,28,2009
Saw II,2949,10758,10/28/2005,Lionsgate Films,Fall,No,10,28,2005
Saw 3D,2808,8023,10/29/2010,Lionsgate Films,Fall,No,10,29,2010
Terminator: Dark Fate,4086,7105,11/1/2019,Paramount Pictures,Fall,No,11,1,2019
Ender's Game,3407,7929,11/1/2013,Lionsgate Films,Fall,No,11,1,2013
The Santa Clause 2,3350,8659,11/1/2002,Walt Disney Studios Motion Pictures,Fall,No,11,1,2002
Bohemian Rhapsody,4000,12765,11/2/2018,Twentieth Century Fox,Fall,No,11,2,2018
Wreck-It Ralph,3752,13070,11/2/2012,Walt Disney Studios Motion Pictures,Fall,No,11,2,2012
Flight,1884,13216,11/2/2012,Paramount Pictures,Fall,No,11,2,2012
American Gangster,3054,14264,11/2/2007,Universal Pictures,Fall,No,11,2,2007
Bee Movie,3928,9679,11/2/2007,DreamWorks,Fall,No,11,2,2007
"Monsters, Inc.",3237,19331,11/2/2001,Walt Disney Studios Motion Pictures,Fall,No,11,2,2001
Thor: Ragnarok,4080,30084,11/3/2017,Walt Disney Studios Motion Pictures,Fall,No,11,3,2017
Borat,837,31607,11/3/2006,Twentieth Century Fox,Fall,No,11,3,2006
Charlie's Angels,3037,13213,11/3/2000,Sony Pictures Releasing,Fall,No,11,3,2000
Doctor Strange,3882,21910,11/4/2016,Walt Disney Studios Motion Pictures,Fall,No,11,4,2016
Trolls,4060,11473,11/4/2016,Twentieth Century Fox,Fall,No,11,4,2016
Tower Heist,3367,7135,11/4/2011,Universal Pictures,Fall,No,11,4,2011
Chicken Little,3654,10960,11/4/2005,Walt Disney Studios Motion Pictures,Fall,No,11,4,2005
Jarhead,2411,11499,11/4/2005,Universal Pictures,Fall,No,11,4,2005
Eternals,4090,17432,11/5/2021,Walt Disney Studios Motion Pictures,Fall,No,11,5,2021
Interstellar,3561,13341,11/5/2014,Paramount Pictures,Fall,No,11,5,2014
Megamind,3944,11667,11/5/2010,DreamWorks,Fall,No,11,5,2010
Due Date,3355,9743,11/5/2010,Warner Bros.,Fall,No,11,5,2010
The Incredibles,3933,17917,11/5/2004,Walt Disney Studios Motion Pictures,Fall,No,11,5,2004
The Matrix Revolutions,3502,13842,11/5/2003,Warner Bros.,Fall,No,11,5,2003
Spectre,3929,17918,11/6/2015,Sony Pictures Releasing,Fall,No,11,6,2015
The Peanuts Movie,3897,11345,11/6/2015,Twentieth Century Fox,Fall,No,11,6,2015
A Christmas Carol,3683,8159,11/6/2009,Walt Disney Studios Motion Pictures,Fall,No,11,6,2009
The Waterboy,2664,14795,11/6/1998,Walt Disney Studios Motion Pictures,Fall,No,11,6,1998
Big Hero 6,3761,14947,11/7/2014,Walt Disney Studios Motion Pictures,Fall,No,11,7,2014
Madagascar: Escape 2 Africa,4056,15558,11/7/2008,DreamWorks,Fall,No,11,7,2008
Elf,3337,9619,11/7/2003,New Line Cinema,Fall,No,11,7,2003
Starship Troopers,2971,7424,11/7/1997,Sony Pictures Releasing,Fall,No,11,7,1997
Thor: The Dark World,3841,22321,11/8/2013,Walt Disney Studios Motion Pictures,Fall,No,11,8,2013
8 Mile,2470,20745,11/8/2002,Universal Pictures,Fall,No,11,8,2002
Ransom,2676,12786,11/8/1996,Walt Disney Studios Motion Pictures,Fall,No,11,8,1996
The Grinch,4141,16318,11/9/2018,Universal Pictures,Fall,No,11,9,2018
Skyfall,3505,25211,11/9/2012,Sony Pictures Releasing,Fall,No,11,9,2012
Shallow Hal,2770,8129,11/9/2001,Twentieth Century Fox,Fall,No,11,9,2001
The Marvels,4030,11441,11/10/2023,Walt Disney Studios Motion Pictures,Fall,Yes,11,10,2023
Daddy's Home 2,3575,8294,11/10/2017,Paramount Pictures,Fall,Yes,11,10,2017
Murder on the Orient Express,3341,8584,11/10/2017,Twentieth Century Fox,Fall,Yes,11,10,2017
The Polar Express,3650,6389,11/10/2004,Warner Bros.,Fall,Yes,11,10,2004
Pokémon: The First Movie - Mewtwo Strikes Back,3043,10199,11/10/1999,Warner Bros.,Fall,Yes,11,10,1999
Ace Ventura: When Nature Calls,2652,14254,11/10/1995,Warner Bros.,Fall,Yes,11,10,1995
Black Panther: Wakanda Forever,4396,41251,11/11/2022,Walt Disney Studios Motion Pictures,Fall,Yes,11,11,2022
Arrival,2317,10390,11/11/2016,Paramount Pictures,Fall,Yes,11,11,2016
Immortals,3112,10349,11/11/2011,Relativity Media,Fall,Yes,11,11,2011
Jack and Jill,3438,7272,11/11/2011,Sony Pictures Releasing,Fall,Yes,11,11,2011
Interview with the Vampire: The Vampire Chronicles,2604,13974,11/11/1994,Warner Bros.,Fall,Yes,11,11,1994
Unstoppable,3207,7074,11/12/2010,Twentieth Century Fox,Fall,Yes,11,12,2010
2012,3404,19164,11/13/2009,Sony Pictures Releasing,Fall,No,11,13,2009
Bram Stoker's Dracula,2491,12252,11/13/1992,Columbia Pictures,Fall,No,11,13,1992
Dumb and Dumber To,3154,11449,11/14/2014,Universal Pictures,Fall,No,11,14,2014
Quantum of Solace,3451,19567,11/14/2008,Sony Pictures Releasing,Fall,No,11,14,2008
Master and Commander: The Far Side of the World,3101,8096,11/14/2003,Twentieth Century Fox,Fall,No,11,14,2003
Ford v Ferrari,3528,8921,11/15/2019,Twentieth Century Fox,Fall,No,11,15,2019
The Best Man Holiday,2024,14875,11/15/2013,Universal Pictures,Fall,No,11,15,2013
Harry Potter and the Chamber of Secrets,3682,23997,11/15/2002,Warner Bros.,Fall,No,11,15,2002
Space Jam,2650,10388,11/15/1996,Warner Bros.,Fall,No,11,15,1996
Fantastic Beasts: The Crimes of Grindelwald,4163,14932,11/16/2018,Warner Bros.,Fall,No,11,16,2018
The Twilight Saga: Breaking Dawn - Part 2,4070,34660,11/16/2012,Lionsgate Films,Fall,No,11,16,2012
Beowulf,3153,8726,11/16/2007,Paramount Pictures,Fall,No,11,16,2007
Harry Potter and the Sorcerer's Stone,3672,24590,11/16/2001,Warner Bros.,Fall,No,11,16,2001
The Hunger Games: The Ballad of Songbirds & Snakes,3776,11813,11/17/2023,Lionsgate Films,Fall,No,11,17,2023
Trolls Band Together,3870,7752,11/17/2023,Universal Pictures,Fall,No,11,17,2023
Justice League,4051,23165,11/17/2017,Warner Bros.,Fall,No,11,17,2017
Wonder,3096,8897,11/17/2017,Lionsgate Films,Fall,No,11,17,2017
Happy Feet,3804,10918,11/17/2006,Warner Bros.,Fall,No,11,17,2006
Casino Royale,3434,11890,11/17/2006,Sony Pictures Releasing,Fall,No,11,17,2006
How the Grinch Stole Christmas,3127,17615,11/17/2000,Universal Pictures,Fall,No,11,17,2000
Rugrats in Paris,2934,7743,11/17/2000,Paramount Pictures,Fall,No,11,17,2000
GoldenEye,2667,9825,11/17/1995,Metro-Goldwyn-Mayer (MGM),Fall,No,11,17,1995
Fantastic Beasts and Where to Find Them,4144,17954,11/18/2016,Warner Bros.,Fall,No,11,18,2016
The Twilight Saga: Breaking Dawn - Part 1,4061,34011,11/18/2011,Summit Entertainment,Fall,No,11,18,2011
Harry Potter and the Goblet of Fire,3858,26616,11/18/2005,Warner Bros.,Fall,No,11,18,2005
Walk the Line,2961,7547,11/18/2005,Twentieth Century Fox,Fall,No,11,18,2005
Star Trek: Generations,2659,8693,11/18/1994,Paramount Pictures,Fall,No,11,18,1994
Ghostbusters: Afterlife,4315,10198,11/19/2021,Sony Pictures Releasing,Fall,No,11,19,2021
Harry Potter and the Deathly Hallows: Part 1,4125,30307,11/19/2010,Warner Bros.,Fall,No,11,19,2010
National Treasure,3017,11648,11/19/2004,Walt Disney Studios Motion Pictures,Fall,No,11,19,2004
The SpongeBob SquarePants Movie,3212,9968,11/19/2004,Paramount Pictures,Fall,No,11,19,2004
The World Is Not Enough,3163,11229,11/19/1999,Metro-Goldwyn-Mayer (MGM),Fall,No,11,19,1999
Sleepy Hollow,3064,9810,11/19/1999,Paramount Pictures,Fall,No,11,19,1999
The Hunger Games: Mockingjay - Part 2,4175,24590,11/20/2015,Lionsgate Films,Fall,No,11,20,2015
The Twilight Saga: New Moon,4024,35496,11/20/2009,Summit Entertainment,Fall,No,11,20,2009
The Blind Side,3110,10970,11/20/2009,Warner Bros.,Fall,No,11,20,2009
The Rugrats Movie,2782,9820,11/20/1998,Paramount Pictures,Fall,No,11,20,1998
Home Alone 2: Lost in New York,2222,14008,11/20/1992,Twentieth Century Fox,Fall,No,11,20,1992
Ralph Breaks the Internet,4017,13999,11/21/2018,Walt Disney Studios Motion Pictures,Fall,No,11,21,2018
Creed II,3441,10338,11/21/2018,Metro-Goldwyn-Mayer (MGM),Fall,No,11,21,2018
The Hunger Games: Mockingjay - Part 1,4151,29365,11/21/2014,Lionsgate Films,Fall,No,11,21,2014
Rise of the Guardians,3653,6507,11/21/2012,DreamWorks,Fall,No,11,21,2012
Life of Pi,2927,7670,11/21/2012,Twentieth Century Fox,Fall,No,11,21,2012
Twilight,3419,20367,11/21/2008,Summit Entertainment,Fall,No,11,21,2008
Bolt,3651,7182,11/21/2008,Walt Disney Studios Motion Pictures,Fall,No,11,21,2008
Enchanted,3730,9233,11/21/2007,Walt Disney Studios Motion Pictures,Fall,No,11,21,2007
The Cat in the Hat,3464,11065,11/21/2003,Universal Pictures,Fall,No,11,21,2003
Spy Game,2770,7830,11/21/2001,Universal Pictures,Fall,No,11,21,2001
Frozen II,4440,29338,11/22/2019,Walt Disney Studios Motion Pictures,Fall,No,11,22,2019
Coco,3987,12742,11/22/2017,Walt Disney Studios Motion Pictures,Fall,No,11,22,2017
The Hunger Games: Catching Fire,4163,37971,11/22/2013,Lionsgate Films,Fall,No,11,22,2013
Die Another Day,3314,14203,11/22/2002,Metro-Goldwyn-Mayer (MGM),Fall,No,11,22,2002
Unbreakable,2708,11200,11/22/2000,Walt Disney Studios Motion Pictures,Fall,No,11,22,2000
Star Trek: First Contact,2812,10923,11/22/1996,Paramount Pictures,Fall,No,11,22,1996
Toy Story,2457,11860,11/22/1995,Walt Disney Studios Motion Pictures,Fall,No,11,22,1995
The Addams Family,2411,10038,11/22/1991,Paramount Pictures,Fall,No,11,22,1991
Back to the Future Part II,1865,14925,11/22/1989,Universal Pictures,Fall,No,11,22,1989
